지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
211,2019-03-01 1:00,-1.6,,0.3,0,81
211,2019-03-01 2:00,-2,,0.3,0,83
211,2019-03-01 3:00,-2.5,,0.5,360,84
211,2019-03-01 4:00,-3.3,,0.2,0,87
211,2019-03-01 5:00,-3.3,,0.5,360,86
211,2019-03-01 6:00,-4,,0.2,0,88
211,2019-03-01 7:00,-4.3,,0.3,0,91
211,2019-03-01 8:00,-3.6,,0.2,0,89
211,2019-03-01 9:00,-1.4,,0.7,90,81
211,2019-03-01 10:00,1.6,,0.6,140,67
211,2019-03-01 11:00,6.4,,2.5,160,47
211,2019-03-01 12:00,9.4,,2.9,140,33
211,2019-03-01 13:00,10.6,,2.8,320,26
211,2019-03-01 14:00,11.7,,1.1,50,23
211,2019-03-01 15:00,12.1,,2.5,180,24
211,2019-03-01 16:00,12.3,,2.7,180,23
211,2019-03-01 17:00,11.6,,2.5,160,24
211,2019-03-01 18:00,10.1,,1.7,180,29
211,2019-03-01 19:00,4.9,,0.2,0,48
211,2019-03-01 20:00,2.7,,0.1,0,56
211,2019-03-01 21:00,1.3,,0.2,0,64
211,2019-03-01 22:00,-0.1,,0,0,71
211,2019-03-01 23:00,-0.9,,0.1,0,72
211,2019-03-02 0:00,-1,,0.7,360,73
211,2019-03-02 1:00,-2,,0.4,0,77
211,2019-03-02 2:00,-2.5,,0.2,0,77
211,2019-03-02 3:00,-3,,0.4,0,80
211,2019-03-02 4:00,-3.7,,0.3,0,82
211,2019-03-02 5:00,-4.2,,0.3,0,85
211,2019-03-02 6:00,-4.1,,0.9,340,85
211,2019-03-02 7:00,-4,,1.1,360,84
211,2019-03-02 8:00,-3.5,,1.8,20,83
211,2019-03-02 9:00,-0.9,,1.4,20,72
211,2019-03-02 10:00,1.3,,0.7,180,62
211,2019-03-02 11:00,5.5,,1.1,160,47
211,2019-03-02 12:00,9.7,,1.2,160,28
211,2019-03-02 13:00,12.2,,2.2,110,22
211,2019-03-02 14:00,13.2,,2,180,15
211,2019-03-02 15:00,13.9,,2.2,200,16
211,2019-03-02 16:00,13.6,,1.6,160,15
211,2019-03-02 17:00,13,,1.5,180,19
211,2019-03-02 18:00,10,,0.9,50,31
211,2019-03-02 19:00,6.6,,0.7,320,43
211,2019-03-02 20:00,5,,0.5,250,50
211,2019-03-02 21:00,4,,0.8,20,58
211,2019-03-02 22:00,2.5,,0.1,0,62
211,2019-03-02 23:00,1,,0.2,0,70
211,2019-03-03 0:00,0.3,,0.1,0,74
211,2019-03-03 1:00,0.1,,1,360,75
211,2019-03-03 2:00,-1.2,,0,0,82
211,2019-03-03 3:00,-1.8,,0.1,0,86
211,2019-03-03 4:00,-2.4,,0.5,360,87
211,2019-03-03 5:00,-3,,0.2,0,88
211,2019-03-03 6:00,-3.4,,0.1,0,90
211,2019-03-03 7:00,-3.8,,0.4,0,90
211,2019-03-03 8:00,-3.2,,0.2,0,89
211,2019-03-03 9:00,-1,,0.6,110,84
211,2019-03-03 10:00,2.2,,0.7,90,70
211,2019-03-03 11:00,5.9,,0.7,110,52
211,2019-03-03 12:00,10.6,,1.4,200,32
211,2019-03-03 13:00,13.4,,2.1,160,18
211,2019-03-03 14:00,14.8,,2.4,160,17
211,2019-03-03 15:00,15.3,,1.7,160,14
211,2019-03-03 16:00,15.4,,1.7,160,15
211,2019-03-03 17:00,13.5,,3.3,20,34
211,2019-03-03 18:00,11.4,,3.7,20,46
211,2019-03-03 19:00,9.3,,1.2,50,56
