year,month,day,time,city,district,firearea
2019,5,24,12:59,강원,영월,0.1
2019,4,17,13:52,강원,영월,0.2
2019,4,7,10:39,강원,영월,0.3
2018,2,11,13:25,강원,영월,0.2
2017,11,20,11:58,강원,영월,0.3
2017,5,3,20:27,강원,영월,0.1
2017,5,3,17:19,강원,영월,0.01
2017,5,3,14:30,강원,영월,0.5
2017,4,23,13:11,강원,영월,0.2
2017,4,8,13:28,강원,영월,0.3
2017,3,19,14:25,강원,영월,0.2
2017,3,13,15:38,강원,영월,0.3
2016,5,9,13:23,강원,영월,0.2
2016,4,2,15:24,강원,영월,1
2016,3,16,11:27,강원,영월,0.02
2016,2,26,15:40,강원,영월,0.05
2016,1,31,13:07,강원,영월,0.05
2015,5,21,15:55,강원,영월,0.04
2015,5,2,12:50,강원,영월,0.03
2015,3,22,13:40,강원,영월,0.1
2015,2,12,11:46,강원,영월,1
2014,5,10,15:02,강원,영월,0.5
2014,5,6,18:20,강원,영월,0.3
2014,4,26,13:20,강원,영월,0.1
2014,4,24,18:39,강원,영월,0.9
2014,4,24,12:54,강원,영월,1
2014,4,21,13:15,강원,영월,0.1
2014,4,9,14:00,강원,영월,1.42
2014,3,7,11:50,강원,영월,2
2012,5,27,14:24,강원,영월,0.1
2012,4,20,17:50,강원,영월,0.05
2012,4,17,15:20,강원,영월,0.1
2011,4,13,16:50,강원,영월,0.15
2011,3,14,19:40,강원,영월,0.1
2011,3,9,13:15,강원,영월,0.32
2010,12,27,14:50,강원,영월,0.06
2010,12,27,9:10,강원,영월,0.5
2010,6,9,15:26,강원,영월,0.2
2009,12,21,11:57,강원,영월,0.3
2009,11,16,5:12,강원,영월,0.4
2009,11,12,11:50,강원,영월,0.7
2009,5,28,14:15,강원,영월,1.6
2009,5,1,12:35,강원,영월,0.1
2009,4,18,16:40,강원,영월,0.4
2009,1,17,14:40,강원,영월,0.1
2008,4,20,21:30,강원,영월,1
2008,4,8,14:15,강원,영월,0.2
2007,1,14,20:44,강원,영월,0.5
2006,11,5,14:00,강원,영월,0.1
2006,10,20,10:30,강원,영월,0.3
2005,1,16,13:18,강원,영월,0.03
2004,11,16,10:35,강원,영월,0.1
2004,10,25,15:50,강원,영월,0.05
2004,4,12,12:40,강원,영월,0.3
2003,6,9,11:40,강원,영월,0.3
2003,6,5,16:12,강원,영월,0.02
