"when","city","district","firearea","prec","minhumi","maxtemp","maxwindv"
"2019-04-22 12:00:00","강원","화천","0.09","0.0","17.5","29.2","2.3"
"2019-04-20 12:00:00","강원","춘천","0.03",0,"39.0","20.8","4.4"
"2019-04-17 13:00:00","강원","영월","0.2",0,"11.0","23.1","3.5"
"2019-04-16 16:00:00","강원","홍천","0.08",0,"13.0","22.9","3.2"
"2019-04-12 13:00:00","강원","양구","0.3","0.0","15.1","18.4","3.7"
"2019-04-08 14:00:00","강원","인제","0.5",0,"13.0","16.4","4.6"
"2019-04-07 10:00:00","강원","영월","0.3",0,"16.0","20.0","2.3"
"2019-04-04 23:00:00","강원","강릉","1260",0,"15.0","19.0","8.6"
"2019-04-04 16:00:00","강원","원주","0.5",0,"19.0","16.8","3.9"
"2019-04-04 14:00:00","강원","인제","345",0,"20.0","15.5","6.4"
"2019-04-04 13:00:00","강원","횡성","0.05","0.0","24.2","17.9","5.6"
"2019-04-03 14:00:00","강원","횡성","0.7","0.0","25.4","15.2","5.3"
"2019-04-01 19:00:00","강원","홍천","0.02",0,"17.0","11.0","4.7"
"2019-03-17 12:00:00","강원","속초","1",0,"38.0","9.7","4.1"
"2019-03-13 18:00:00","강원","춘천","0.02",0,"13.0","8.6","5.7"
"2019-03-13 10:00:00","강원","강릉","0.01",0,"12.0","9.1","8.4"
"2019-03-12 15:00:00","강원","춘천","0.1","1.3","27.0","6.8","6.0"
"2019-03-09 07:00:00","강원","강릉","0.1",0,"7.0","17.0","5.7"
"2019-03-08 17:00:00","강원","홍천","0.02",0,"22.0","13.6","2.9"
"2019-03-06 13:00:00","강원","강릉","0.06",0,"27.0","14.3","4.1"
"2019-03-04 13:00:00","강원","횡성","0.1","0.0","25.6","16.2","3.3"
"2019-03-04 12:00:00","강원","홍천","0.6",0,"18.0","16.4","2.3"
"2019-03-03 11:00:00","강원","원주","0.1",0,"15.0","14.2","1.5"
"2019-03-02 16:00:00","강원","화천","0.4","0.0","15.3","15.5","2.1"
"2019-03-02 14:00:00","강원","춘천","0.02",0,"19.0","15.0","1.5"
"2019-02-27 14:00:00","강원","춘천","1",0,"27.0","14.1","2.5"
"2019-02-27 11:00:00","강원","평창","0.1","0.0","36.8","11.1","3.7"
"2018-04-21 21:00:00","강원","원주","0.5",0,"11.0","28.1","2.7"
"2018-04-21 16:00:00","강원","춘천","0.5",0,"9.0","28.0","4.7"
"2018-04-21 11:00:00","강원","인제","3",0,"12.0","27.7","4.4"
"2018-04-21 10:00:00","강원","화천","0.15","0.0","9.2","29.9","3.0"
"2018-04-20 13:00:00","강원","평창","0.08","0.0","18.4","28.8","3.3"
"2018-04-19 19:00:00","강원","양양","13.08","0.0","10.1","26.0","6.9"
"2018-04-13 12:00:00","강원","춘천","0.02",0,"18.0","19.0","3.8"
"2018-04-09 14:00:00","강원","삼척","0.3","0.0","29.5","12.1","3.5"
"2018-04-01 13:00:00","강원","철원","0.1",0,"47.0","19.9","4.2"
