"when","city","district","firearea","prec","minhumi","maxtemp","maxwindv"
"2019-04-22 12:00:00","강원","화천",1,0,0.17500000000000002,29.2,2.3
"2019-04-20 12:00:00","강원","춘천",1,0,0.39,20.8,4.4
"2019-04-17 13:00:00","강원","영월",2,0,0.11,23.1,3.5
"2019-04-16 16:00:00","강원","홍천",1,0,0.13,22.9,3.2
"2019-04-12 13:00:00","강원","양구",3,0,0.151,18.4,3.7
"2019-04-08 14:00:00","강원","인제",3,0,0.13,16.4,4.6
"2019-04-07 10:00:00","강원","영월",3,0,0.16,20,2.3
"2019-04-04 23:00:00","강원","강릉",7,0,0.15,19,8.6
"2019-04-04 16:00:00","강원","원주",3,0,0.19,16.8,3.9
"2019-04-04 14:00:00","강원","인제",7,0,0.2,15.5,6.4
"2019-04-04 13:00:00","강원","횡성",1,0,0.242,17.9,5.6
"2019-04-03 14:00:00","강원","횡성",4,0,0.254,15.2,5.3
"2019-04-01 19:00:00","강원","홍천",1,0,0.17,11,4.7
"2019-03-17 12:00:00","강원","속초",5,0,0.38,9.7,4.1
"2019-03-13 18:00:00","강원","춘천",1,0,0.13,8.6,5.7
"2019-03-13 10:00:00","강원","강릉",1,0,0.12,9.1,8.4
"2019-03-12 15:00:00","강원","춘천",2,1.3,0.27,6.8,6
"2019-03-09 07:00:00","강원","강릉",2,0,0.07,17,5.7
"2019-03-08 17:00:00","강원","홍천",1,0,0.22,13.6,2.9
"2019-03-06 13:00:00","강원","강릉",1,0,0.27,14.3,4.1
"2019-03-04 13:00:00","강원","횡성",2,0,0.256,16.2,3.3
"2019-03-04 12:00:00","강원","홍천",3,0,0.18,16.4,2.3
"2019-03-03 11:00:00","강원","원주",2,0,0.15,14.2,1.5
"2019-03-02 16:00:00","강원","화천",3,0,0.153,15.5,2.1
"2019-03-02 14:00:00","강원","춘천",1,0,0.19,15,1.5
"2019-02-27 14:00:00","강원","춘천",5,0,0.27,14.1,2.5
"2019-02-27 11:00:00","강원","평창",2,0,0.368,11.1,3.7
"2018-04-21 21:00:00","강원","원주",3,0,0.11,28.1,2.7
"2018-04-21 16:00:00","강원","춘천",3,0,0.09,28,4.7
"2018-04-21 11:00:00","강원","인제",7,0,0.12,27.7,4.4
"2018-04-21 10:00:00","강원","화천",2,0,0.092,29.9,3
"2018-04-20 13:00:00","강원","평창",1,0,0.184,28.8,3.3
"2018-04-19 19:00:00","강원","양양",7,0,0.10099999999999999,26,6.9
"2018-04-13 12:00:00","강원","춘천",1,0,0.18,19,3.8
"2018-04-09 14:00:00","강원","삼척",3,0,0.295,12.1,3.5
"2018-04-01 13:00:00","강원","철원",2,0,0.47000000000000003,19.9,4.2
"2018-03-25 21:00:00","강원","삼척",2,0,0.14400000000000002,22.3,3.4
"2018-03-25 19:00:00","강원","원주",3,0,0.19,17.7,2.2
"2018-03-22 14:00:00","강원","춘천",5,0,0.24,14.3,3
"2018-03-14 14:00:00","강원","춘천",2,0,0.43,21.5,3.4
"2018-02-19 15:00:00","강원","원주",3,0,0.26,6.6,1.2
"2018-02-16 14:00:00","강원","평창",3,0,0.165,5.4,3.3
"2018-02-12 12:00:00","강원","횡성",2,0,0.348,-1.2,5.8
"2018-02-11 21:00:00","강원","삼척",7,0,0.10099999999999999,-0.3,5.5
"2018-02-11 16:00:00","강원","삼척",7,0,0.10099999999999999,-0.3,5.5
"2018-02-11 13:00:00","강원","영월",2,0,0.2,-2.9,7.2
"2018-02-09 06:00:00","강원","춘천",1,0,0.34,3.1,1.6
"2018-02-08 15:00:00","강원","양구",1,0,0.227,0.4,4.3
"2018-02-01 13:00:00","강원","홍천",1,0,0.21,1.9,1.8
"2017-04-29 18:00:00","강원","춘천",3,0,0.17,24.5,5.3
"2017-04-29 15:00:00","강원","춘천",1,0,0.17,24.5,5.3
